,episode_reward,episode,duration,step,batch_reward,critic_loss,actor_loss,actor_target_entropy,actor_entropy,alpha_loss,alpha_value
0,0.0,1.0,34.6834659576416,500,,,,,,,
1,3.0,2.0,1.2256760597229004,1000,,,,,,,
2,11.0,3.0,130.82281732559204,1500,0.01727734375,0.07853718032035976,-0.6070371641516685,-2.0,2.5241319868564607,0.325512699842453,0.09877712816355469
3,9.0,4.0,123.71372961997986,2000,0.0138984375,0.052743779424577954,-0.9400922930240632,-2.0,2.6203743801116945,0.32298558521270754,0.09634914349806284
4,5.0,5.0,122.2979691028595,2500,0.01296875,0.050037036757450554,-1.191739402770996,-2.0,2.635472343444824,0.31546080362796786,0.09401542860676233
5,4.0,6.0,123.19327592849731,3000,0.0157578125,0.07788627525838092,-1.323305513381958,-2.0,2.655554166793823,0.307284033536911,0.09176429732976916
6,14.0,7.0,120.67846822738647,3500,0.01365625,0.10327803371660411,-1.481721829891205,-2.0,2.6459720058441163,0.2968594025373459,0.08959537528818037
7,0.0,8.0,122.95903635025024,4000,0.01327734375,0.1902859078515321,-1.5797843480110167,-2.0,2.6519165143966674,0.2844980698823929,0.08752527643505603
8,6.0,9.0,115.11002802848816,4500,0.01396875,0.2864556271508336,-1.718641342163086,-2.0,2.672958483695984,0.2547692610025406,0.08557261226348928
9,16.0,10.0,,5000,0.01584375,0.32648694854974747,-1.9325215306282044,-2.0,2.627133529663086,0.23828312677145005,0.08381926333393755
10,,,150.5806016921997,5000,,,,,,,
11,12.0,11.0,119.59824061393738,5500,0.01484765625,0.2367162459939718,-2.0801836438179016,-2.0,2.603799433708191,0.24566934937238694,0.08200426124377984
12,0.0,12.0,119.17984318733215,6000,0.01498046875,0.26796529756486415,-2.6638773546218872,-2.0,2.508408546447754,0.22968926012516022,0.08022050332476924
13,30.0,13.0,121.62804675102234,6500,0.01862109375,0.3258185219168663,-3.2338200883865356,-2.0,2.4511638889312746,0.20458618646860122,0.07856068830216383
14,14.0,14.0,121.96428918838501,7000,0.01992578125,0.3246194776892662,-4.015569447517395,-2.0,2.3166393451690674,0.17764363467693328,0.07706916249149542
15,30.0,15.0,117.75485324859619,7500,0.0250703125,0.35722662740945815,-4.827341617584229,-2.0,2.1992232661247253,0.15792007458209992,0.07571070002306747
16,58.0,16.0,125.86982798576355,8000,0.031546875,0.3077682577371597,-5.5653992290496825,-2.0,2.1499979104995726,0.1491922959089279,0.0744005889607956
17,76.0,17.0,121.07104516029358,8500,0.04128125,0.3098611830770969,-6.200871376037598,-2.0,2.08956231880188,0.13395849737524987,0.07311851987224607
18,153.0,18.0,131.48316359519958,9000,0.062546875,0.3504025374054909,-6.859255107879639,-2.0,1.955255967617035,0.10916628959774971,0.07196304534334384
19,247.0,19.0,114.43913531303406,9500,0.08999609375,0.39355714643001555,-7.709165967941284,-2.0,1.8269097876548768,0.08906784844398498,0.0709704668447882
20,357.0,20.0,,10000,0.12887109375,0.4372439558506012,-8.827558963775635,-2.0,1.7115758695602417,0.07279014813899994,0.07007773391641518
21,,,139.52692222595215,10000,,,,,,,
22,444.0,21.0,107.78791522979736,10500,0.16745703125,0.4873011193871498,-10.192858795166016,-2.0,1.6196450901031494,0.050065063662827015,0.06934808152899562
23,451.0,22.0,108.37926506996155,11000,0.20421875,0.5184785506129265,-11.763237113952636,-2.0,1.516463478565216,0.03146258665621281,0.0688143275516244
24,497.0,23.0,107.42907047271729,11500,0.23605859375,0.5071489344239235,-13.529608543395996,-2.0,1.418429217338562,0.016257071018917487,0.06847345872904931
25,490.0,24.0,107.49082088470459,12000,0.27144140625,0.4893072502017021,-15.360998657226563,-2.0,1.388402711391449,0.005401605325518176,0.06830817295743878
26,553.0,25.0,108.1025938987732,12500,0.30636328125,0.4546984539628029,-17.282731307983397,-2.0,1.3322632722854615,-0.0015405864124186338,0.06826134460438829
27,578.0,26.0,107.67913889884949,13000,0.3412734375,0.4396039650440216,-19.238372192382812,-2.0,1.2813568587303161,-0.006513221035245806,0.06836356916192433
28,599.0,27.0,108.61257553100586,13500,0.37355859375,0.42715108662843704,-21.163833518981935,-2.0,1.2440542631149292,-0.00897009411198087,0.06854459139276359
29,612.0,28.0,108.81776928901672,14000,0.40591015625,0.4335814335346222,-23.120090408325197,-2.0,1.2443320040702819,-0.012523573030717671,0.06885210913219915
30,618.0,29.0,108.61621022224426,14500,0.43061328125,0.45025468945503233,-25.0875546875,-2.0,1.2081340277194976,-0.01467309225909412,0.06926542411719062
31,617.0,30.0,,15000,0.4623828125,0.4732607342004776,-27.073694259643556,-2.0,1.1980568151473998,-0.01758180254837498,0.06983272501103617
32,,,140.49965810775757,15000,,,,,,,
33,651.0,31.0,107.96957278251648,15500,0.48939453125,0.48089271295070646,-29.047062187194825,-2.0,1.1644842562675477,-0.01800180339626968,0.07052978933425276
34,650.0,32.0,108.30862617492676,16000,0.51294140625,0.48438516885042193,-31.010859664916993,-2.0,1.1594074981212616,-0.01742203808715567,0.07128973440783795
35,649.0,33.0,108.31677293777466,16500,0.5384375,0.4890715139508247,-32.98032592010498,-2.0,1.1419205799102783,-0.018335621449165045,0.07215031151504826
36,628.0,34.0,108.33823347091675,17000,0.56415625,0.4819268653988838,-34.96785409545898,-2.0,1.1375365681648255,-0.018401369613595307,0.07315771172304086
37,667.0,35.0,108.9071900844574,17500,0.58475390625,0.49308519595861433,-36.87565495300293,-2.0,1.1274095222949982,-0.019770961899310352,0.07424604382186258
38,710.0,36.0,109.78126835823059,18000,0.607859375,0.5038245224356651,-38.791117401123046,-2.0,1.0925850002765656,-0.020421807269565762,0.07550043916076934
39,726.0,37.0,109.6785454750061,18500,0.63275390625,0.5533475479483605,-40.73693890380859,-2.0,1.0890163583755492,-0.022531732484698294,0.07697004708956709
40,707.0,38.0,110.14145016670227,19000,0.652265625,0.5590669040679932,-42.663089736938474,-2.0,1.0625550310611724,-0.023267967496067285,0.07859623530180238
41,711.0,39.0,109.51176691055298,19500,0.67116015625,0.6069975934624672,-44.60061454772949,-2.0,1.042688483953476,-0.024732409403193743,0.08039450545940358
42,716.0,40.0,,20000,0.69144140625,0.630479596555233,-46.53276997375488,-2.0,1.0323079397678376,-0.027792241655290126,0.08234393474950243
43,,,141.4343240261078,20000,,,,,,,
44,750.0,41.0,109.3311071395874,20500,0.71520703125,0.6232371462583541,-48.46442111206055,-2.0,1.0319116249084472,-0.02820949758961797,0.08451683466834875
45,781.0,42.0,109.67710590362549,21000,0.7360703125,0.6670433664917946,-50.344140167236326,-2.0,1.0247050778865814,-0.024838733506388964,0.08655870030334568
46,772.0,43.0,109.80846977233887,21500,0.75062890625,0.6884743459224701,-52.179711990356445,-2.0,1.0079259865283967,-0.025977004902437328,0.08854787599524944
47,758.0,44.0,109.75809001922607,22000,0.77194921875,0.7113592979311943,-54.04585641479492,-2.0,0.9971283028125763,-0.024909242658875883,0.09062592821640313
48,788.0,45.0,109.44956493377686,22500,0.7892734375,0.675817013323307,-55.8755440826416,-2.0,0.9781489479541778,-0.023121154319494963,0.09261480692111655
49,834.0,46.0,110.52791905403137,23000,0.80880859375,0.7159676041603088,-57.657256423950194,-2.0,0.9636593396663666,-0.023124847516417503,0.09458338329234585
50,839.0,47.0,111.04737138748169,23500,0.82459765625,0.7310180460214615,-59.401863342285154,-2.0,0.9720409672260284,-0.02358435736829415,0.09670612918716787
51,767.0,48.0,110.29227018356323,24000,0.84132421875,0.8046158145666122,-61.1110387878418,-2.0,0.9608278880119324,-0.02176150425244123,0.09879866793452853
52,772.0,49.0,110.49152684211731,24500,0.85739453125,0.8471476544141769,-62.81559387207031,-2.0,0.9363164200782775,-0.02062392144277692,0.10079272488138977
53,788.0,50.0,,25000,0.87196484375,0.8988130209445954,-64.50538870239258,-2.0,0.9124839189052582,-0.022326076358091085,0.10292849183122685
54,,,143.0329110622406,25000,,,,,,,
55,817.0,51.0,109.82556390762329,25500,0.88671875,0.8739242312908173,-66.1186279296875,-2.0,0.8935505042076111,-0.02035172108700499,0.10510479017601168
56,873.0,52.0,110.55645108222961,26000,0.90191796875,0.8903122915029525,-67.79083004760743,-2.0,0.885926102399826,-0.019524937936570494,0.10718394503493206
57,852.0,53.0,109.94041395187378,26500,0.922140625,0.9065946654081345,-69.4308779296875,-2.0,0.8707493267059326,-0.01715527370152995,0.10918861284215632
58,872.0,54.0,110.50292706489563,27000,0.9319296875,0.8878286004066467,-71.0089016418457,-2.0,0.8655104956626892,-0.016190974067198112,0.11114281758495362
59,869.0,55.0,110.7621705532074,27500,0.9509140625,0.9385639065504074,-72.62381192016602,-2.0,0.8650535287857055,-0.016227469679899513,0.11302160794141075
60,842.0,56.0,110.02641105651855,28000,0.96426953125,0.9829796682596207,-74.1788291015625,-2.0,0.8585473279953003,-0.015479762019589543,0.11506345715487744
61,907.0,57.0,111.20492148399353,28500,0.98166796875,0.9707744710445404,-75.79850076293945,-2.0,0.8496048719882965,-0.016561883495654912,0.11710757823830194
62,914.0,58.0,111.21638178825378,29000,0.98997265625,0.9825258750915528,-77.33857229614257,-2.0,0.8528834567070007,-0.01766195161594078,0.1193773255023928
63,882.0,59.0,109.5804557800293,29500,1.005875,1.008268366575241,-78.86621044921876,-2.0,0.8155524277687073,-0.01692908689798787,0.12183792922465393
64,889.0,60.0,,30000,1.01557421875,1.0423613271713257,-80.3800396118164,-2.0,0.8051234824657441,-0.01464291988685727,0.12396309735122046
65,,,143.56890845298767,30000,,,,,,,
66,863.0,61.0,111.69970846176147,30500,1.0276640625,1.0841584516763687,-81.86048452758789,-2.0,0.8065827021598816,-0.015306457256665454,0.12625231328488884
67,909.0,62.0,111.62398266792297,31000,1.0435,1.034780664086342,-83.33222579956055,-2.0,0.774933988571167,-0.015609504214953631,0.12844781487828708
