,episode_reward,episode,duration,step,batch_reward,critic_loss,actor_loss,actor_target_entropy,actor_entropy,alpha_loss,alpha_value,pos_sample_avg_cos_similarity,neg_sample_avg_cos_similarity,pos_sample_avg_cos_similarity_reverse,neg_sample_avg_cos_similarity_reverse,BYOL_L2_MSE_loss
0,0.0,1.0,12.477664709091187,125,,,,,,,,,,,,
1,23.579030900784034,2.0,0.47148990631103516,250,,,,,,,,,,,,
2,20.747401348917606,3.0,0.4722898006439209,375,,,,,,,,,,,,
3,15.208494239734875,4.0,0.47184300422668457,500,,,,,,,,,,,,
4,22.388913929606666,5.0,0.471527099609375,625,,,,,,,,,,,,
5,16.786626931975075,6.0,0.47065258026123047,750,,,,,,,,,,,,
6,21.279484872018013,7.0,0.4698965549468994,875,,,,,,,,,,,,
7,26.341675891684616,8.0,0.4701855182647705,1000,,,,,,,,,,,,
8,32.46511410728092,9.0,52.39983868598938,1125,0.1809229884147644,0.24426325893402098,-1.0130391356845696,-6.0,7.187296920352512,0.9275190402117987,0.09969719210840265,0.8038763170242309,0.7896137253046036,0.8036911705732346,0.7894274631142616,0.3924325134754181
9,29.488824328765926,10.0,52.374290466308594,1250,0.18265652883052827,0.13793544751405715,-1.6057572153306776,-6.0,7.600380013065953,0.9826758994210151,0.09905130409180211,0.9914303193092346,0.9659724488258362,0.991432113647461,0.965974483013153,0.017137567076832057
10,15.04342051927617,11.0,52.403894662857056,1375,0.1781400694847107,0.13333836859464646,-1.9347203534746926,-6.0,7.5537749245053245,0.9792632280834137,0.09842588707702173,0.996334921836853,0.96756960105896,0.996333013534546,0.9675679550170898,0.0073320686416700484
11,17.169202481320372,12.0,52.37257528305054,1500,0.17470262479782103,0.12130260705947876,-2.2327270161721016,-6.0,7.572131979850031,0.9735041943288618,0.0978104852281335,0.99689612865448,0.9656139240264893,0.996904800415039,0.9656194944381714,0.0061990521186962725
12,23.82425932142139,13.0,52.461674451828,1625,0.17902973890304566,0.11155846798419952,-2.4790775397467235,-6.0,7.664038045065744,0.9633002886696468,0.0972033288080826,0.997359230041504,0.9627032494544983,0.9973658704757691,0.962698365688324,0.005274896702729166
13,23.031135973157475,14.0,52.39468002319336,1750,0.18140272200107574,0.12591622012853623,-2.73283891524038,-6.0,7.557311073426278,0.9430977202230885,0.09660749155290421,0.9977171483039856,0.9613889307975769,0.9976786074638366,0.961369767665863,0.004604246816597879
14,36.27877072961379,15.0,52.55541443824768,1875,0.1915511887073517,0.15323350739479064,-3.0069478315020364,-6.0,7.434149666438027,0.9193811899139768,0.09602714813973046,0.9979377646446228,0.9589910869598388,0.9979181971549987,0.959011369228363,0.004144026502035558
15,53.48480223857644,16.0,52.497873306274414,2000,0.20041705334186555,0.19410848259925842,-3.3005303221364177,-6.0,7.299206833685598,0.8952563010877178,0.0954603974282838,0.9979692029953003,0.9562003102302551,0.9980048141479492,0.9562252125740052,0.004026004323735833
16,30.88975970610945,17.0,52.53984808921814,2125,0.2133575451374054,0.1954853354692459,-3.617708001817976,-6.0,7.082919824691046,0.871851678878542,0.09490429607792224,0.9979359745979309,0.9542474975585937,0.9979179186820983,0.9542348642349243,0.004146093049086631
17,52.99670479067208,18.0,52.54429316520691,2250,0.22583116567134856,0.2203086931705475,-3.925074492731402,-6.0,6.90212990391639,0.8417612977566258,0.09436240577032942,0.9979327125549317,0.9494279446601868,0.9978978629112244,0.9493607263565064,0.0041694270670413975
18,71.6297166467445,19.0,52.539220094680786,2375,0.2460614494085312,0.21764492917060851,-4.295348122006371,-6.0,6.722321116735065,0.785774220549871,0.09384417330226154,0.9976082057952881,0.9481835236549377,0.9977031126022339,0.9482529673576355,0.004688690708950162
19,69.254245512791,20.0,52.48784303665161,2500,0.2633463841676712,0.2526484520435333,-4.632401989352319,-6.0,6.544870784205775,0.7283641878635653,0.09335598020642158,0.9977219557762146,0.9465971121788025,0.9977611989974976,0.9466322474479675,0.004516839511692524
20,97.20278692089478,21.0,52.52864623069763,2625,0.2883547962903976,0.26052816581726074,-5.007754295591324,-6.0,6.4130396615891225,0.677142668338049,0.09289933364508504,0.9972199473381043,0.9423556394577026,0.9971351952552795,0.9423363108634949,0.005644845904782415
21,60.38260825912619,22.0,52.49903893470764,2750,0.3017374122142792,0.27410524690151217,-5.444053265356248,-6.0,6.209408075578751,0.6496946292538797,0.0924557760908201,0.9972687921524048,0.942359652519226,0.9972539553642273,0.9423468499183655,0.005477261599153281
22,122.12174134751768,23.0,52.557313680648804,2875,0.3231165871620178,0.3117976511716843,-5.92527781592475,-6.0,5.872109186081659,0.5933048384530204,0.09203424680022308,0.9969200139045715,0.9405000720024109,0.9970814261436463,0.940636116027832,0.005998570879921317
23,38.616801428814966,24.0,52.58542847633362,3000,0.3179363031387329,0.31905800437927245,-6.403382862767866,-6.0,5.629909984527096,0.5576534684627287,0.0916349434325455,0.9975980515480042,0.9387438850402832,0.997623080253601,0.9388043384552002,0.004778865195810795
24,33.149243299694334,25.0,52.56565260887146,3125,0.3211375105381012,0.3533499140739441,-6.928232298956977,-6.0,5.569305033910842,0.5444247268495106,0.09124604715390945,0.9974302868843079,0.9364094529151916,0.9973883800506592,0.9364238781929016,0.005181316925212741
25,89.83984703418935,26.0,52.52222537994385,3250,0.34294944429397584,0.3866714286804199,-7.527002303831039,-6.0,5.486428276185067,0.5215090220012972,0.09085868310040238,0.9972910919189453,0.936748441696167,0.9974167904853821,0.9368621754646301,0.005292115789838135
