,episode_reward,episode,duration,step,Q1 loss,Q2 loss,Mean Target Q,Mean Q1,Mean Q2,critic_loss,batch_reward,actor_loss,actor_target_entropy,actor_entropy,alpha_loss,alpha_value
0,0.0,1.0,12.111485719680786,250,,,,,,,,,,,,
1,5.0,2.0,0.34078550338745117,500,,,,,,,,,,,,
2,0.0,3.0,0.3396589756011963,750,,,,,,,,,,,,
3,0.0,4.0,0.3396482467651367,1000,,,,,,,,,,,,
4,201.0,5.0,312.1434426307678,1250,0.49358649158477785,0.494388341486454,0.6168905985727906,0.6090975458770991,0.6101323621682823,0.9879748336672783,0.25259375,-0.707464210793376,-2.0,2.456848867982626,0.31101093637943267,0.09941311242151749
5,98.0,6.0,263.19909262657166,1500,0.2508692308366299,0.24996097084879876,0.9651800379753113,0.962435709476471,0.962546021938324,0.5008302003145217,0.261984375,-1.1078795642852783,-2.0,2.529283521652222,0.31342267847061156,0.09816220164808676
6,68.0,7.0,289.20352721214294,1750,0.2892904123365879,0.2927852176129818,1.2590291378498077,1.2550646426677703,1.2554433953762054,0.5820756301283836,0.2303515625,-1.476381580352783,-2.0,2.494290767669678,0.28367015647888183,0.09702332539189207
7,24.0,8.0,344.907931804657,2000,0.22669626098871232,0.22779930576682092,1.6898414087295532,1.687567702293396,1.687658462524414,0.45449556583166123,0.2206015625,-2.0312484216690065,-2.0,2.452799419403076,0.2637241051197052,0.09593288365069469
8,60.0,9.0,301.2464165687561,2250,0.35287985491752627,0.35706132650375366,2.231822920322418,2.2281584696769716,2.227945339679718,0.7099411829710006,0.2108984375,-2.6407317543029785,-2.0,2.3934986209869384,0.24979660069942475,0.09489996139853815
9,27.0,10.0,188.658221244812,2500,1.0499551929235458,1.0503097232580185,2.87864559841156,2.8720847816467283,2.8719109172821047,2.100264916777611,0.2035078125,-3.2767116374969483,-2.0,2.3675019340515138,0.23349177825450898,0.09388179303753735
10,5.0,11.0,84.28021430969238,2750,0.7978357156515121,0.8004257863759995,4.6363606414794925,4.632817043304444,4.632957592964172,1.59826149559021,0.328234375,-5.266703020095825,-2.0,2.2464103660583494,0.18437210392951967,0.09297301295829624
11,868.0,12.0,67.53420615196228,3000,0.9159127345085144,0.9177394790649414,6.91433497428894,6.910049556732178,6.910574010848999,1.8336522047519683,0.4765,-7.650418285369873,-2.0,2.1831642723083498,0.15015570813417434,0.09224055868052225
12,5.0,13.0,68.61812543869019,3250,1.1313400046825408,1.1299650168418884,7.8961515007019045,7.892093118667603,7.892127620697021,2.2613050203323364,0.4388984375,-8.798036350250245,-2.0,2.1286077566146853,0.15057324635982514,0.0915319211447094
13,6.0,14.0,106.85791659355164,3500,1.6028957741260528,1.6007344782352448,9.093725065231324,9.089472419738769,9.089395013809204,3.2036302433013915,0.4086484375,-9.968240856170654,-2.0,2.1124731760025024,0.14788106590509414,0.0907801157562468
14,0.0,15.0,81.62280011177063,3750,2.149831063747406,2.141046571731567,11.080036331176759,11.073709720611573,11.074343654632568,4.290877639770508,0.377171875,-12.151401672363281,-2.0,2.0342057332992556,0.12483136200904846,0.09005354405407937
15,13.0,16.0,68.84345293045044,4000,2.32374037027359,2.303948422431946,13.93485453414917,13.92822551727295,13.928236598968505,4.627688778877259,0.3664765625,-15.20692847442627,-2.0,1.8939833936691284,0.09396353283524514,0.0894591511116413
16,6.0,17.0,67.31622838973999,4250,2.1485424876213073,2.1460652194023133,15.64432862854004,15.641681850433349,15.642379554748535,4.294607707023621,0.33803125,-16.95525679779053,-2.0,1.8179085016250611,0.08433576720952987,0.0889549321211771
17,0.0,18.0,67.36071419715881,4500,2.122508900642395,2.1164593811035157,17.01990859222412,17.01428276824951,17.0145576171875,4.238968286514282,0.3165859375,-18.433143463134765,-2.0,1.7765588083267212,0.06676805263757705,0.08850218361162623
18,23.0,19.0,69.07593989372253,4750,1.905649405002594,1.9000307636260987,18.721503635406496,18.717803733825683,18.718180507659913,3.8056801719665527,0.3175234375,-20.38113525390625,-2.0,1.7525756692886352,0.06271187981963158,0.08807933935211779
19,298.0,20.0,,5000,1.8738032474517823,1.880563862323761,20.06515328216553,20.060470352172853,20.060580513000488,3.7543671102523803,0.3552578125,-21.530224182128908,-2.0,1.7835809202194215,0.0657354584634304,0.08764369119363769
20,,,75.63137626647949,5000,,,,,,,,,,,,
21,38.0,21.0,69.05884265899658,5250,2.7764716000556944,2.7423897218704223,22.856940063476564,22.851695625305176,22.852370681762697,5.518861315727234,0.422296875,-24.350346618652345,-2.0,1.7348788251876832,0.06693779963254928,0.08715922185804037
22,913.0,22.0,105.1129412651062,5500,2.14037593793869,2.1587804474830627,25.65922142791748,25.654009376525877,25.65459288787842,4.299156386375428,0.4916015625,-27.13997801208496,-2.0,1.700474925994873,0.07012233817577362,0.08662320445855513
23,5.0,23.0,355.3994789123535,5750,1.832344150543213,1.854936448097229,27.97740074920654,27.974256217956544,27.974534065246583,3.6872805948257446,0.507640625,-29.33695231628418,-2.0,1.7255724983215333,0.06568607836961746,0.08608582521442286
24,434.0,24.0,151.8775818347931,6000,2.0321243324279785,2.0343103251457215,32.13339061737061,32.1286897354126,32.128802085876465,4.066434659957886,0.6143359375,-33.53968124389648,-2.0,1.5871691217422486,0.05227831269800663,0.08557807254822322
25,982.0,25.0,67.42803025245667,6250,3.2489189143180845,3.246552435874939,36.38990106964111,36.38572227478027,36.3847463760376,6.495471349716187,0.72421875,-37.86643453979492,-2.0,1.4787902545928955,0.036894073462113736,0.08519548485274489
26,860.0,26.0,72.8297049999237,6500,1.8920777034759522,1.8784805607795716,39.41237034606934,39.40939588928223,39.40970658874512,3.7705582685470582,0.7751015625,-41.07027493286133,-2.0,1.4349555387496948,0.030795708177611233,0.08487523436519194
27,40.0,27.0,110.70045948028564,6750,1.7999727907180787,1.8035929646492004,41.31111344909668,41.308552947998045,41.309097885131834,3.6035657472610474,0.752078125,-43.04888348388672,-2.0,1.4694733247756957,0.029005065171048044,0.08459578362921345
28,42.0,28.0,72.68194508552551,7000,1.9213928880691529,1.91065971326828,43.72256135559082,43.7196408996582,43.719177047729495,3.8320525999069215,0.7411875,-45.2129309387207,-2.0,1.4492866916656495,0.03272824951261282,0.08426544609065081
29,183.0,29.0,67.55778288841248,7250,2.0471736974716186,2.033803518772125,46.72443688964844,46.71991888427734,46.720382263183595,4.080977235794068,0.747203125,-48.23211752319336,-2.0,1.4022472944259643,0.032863246396183966,0.08391140878435456
30,144.0,30.0,67.4239866733551,7500,2.138576560020447,2.1376502408981324,49.08987413024902,49.08870825195312,49.08802410888672,4.276226788520813,0.7316875,-50.600613494873045,-2.0,1.343335039138794,0.03587732351571322,0.08351687495446306
31,4.0,31.0,67.6113133430481,7750,1.9731962423324585,1.9662857995033265,51.84459649658203,51.84176354980469,51.84197981262207,3.9394820470809937,0.70284375,-53.58396664428711,-2.0,1.3065744676589965,0.03936732390522957,0.08305195430587375
32,6.0,32.0,67.4236569404602,8000,1.7354831056594848,1.7441398282051086,53.790743103027346,53.78722770690918,53.78732241821289,3.47962292098999,0.6837890625,-55.367299438476564,-2.0,1.3300546989440918,0.04059665904566646,0.08254125897532968
33,28.0,33.0,68.33110904693604,8250,1.5982164001464845,1.5976860966682433,55.98296203613281,55.98144340515137,55.98096383666992,3.1959025020599365,0.7189375,-57.33876013183594,-2.0,1.3367037191390991,0.03974077782034874,0.08202013441723971
34,926.0,34.0,68.16048240661621,8500,1.55476122713089,1.5693613929748536,57.91065730285644,57.90798922729492,57.90841902160645,3.1241226205825807,0.75103125,-59.138353149414066,-2.0,1.3708290319442749,0.04443525487184524,0.08142864215085692
35,21.0,35.0,67.6168863773346,8750,1.449756826877594,1.451603423833847,58.66043826293945,58.657592224121096,58.65712150573731,2.9013602447509768,0.7434765625,-60.048737396240234,-2.0,1.3877850914001464,0.04417073249816895,0.08079436353998884
36,24.0,36.0,67.62852191925049,9000,1.5144697308540345,1.532023323535919,59.34731188964844,59.344242385864256,59.34441569519043,3.046493048667908,0.7300390625,-60.74233233642578,-2.0,1.4402885942459107,0.037097445517778396,0.08020472865337272
37,248.0,37.0,67.78273272514343,9250,1.511941313266754,1.5197539620399476,59.918119323730465,59.91721347045898,59.917514297485354,3.03169527053833,0.726546875,-61.371965057373046,-2.0,1.3745295963287354,0.03776422169059515,0.07963169069585088
38,431.0,38.0,67.63571071624756,9500,1.6808560495376588,1.6818334684371947,62.51353840637207,62.51211404418945,62.51167008972168,3.3626895217895507,0.793078125,-63.67838317871094,-2.0,1.3256084785461426,0.03216480853036046,0.07907369389563705
