,episode_reward,episode,duration,step,batch_reward,critic_loss,actor_loss,actor_target_entropy,actor_entropy,alpha_loss,alpha_value,NCE_loss
0,0.0,1.0,11.87885594367981,125,,,,,,,,
1,23.579030900784034,2.0,0.4527311325073242,250,,,,,,,,
2,20.747401348917606,3.0,0.45354151725769043,375,,,,,,,,
3,15.208494239734875,4.0,0.4526095390319824,500,,,,,,,,
4,22.388913929606666,5.0,0.4593961238861084,625,,,,,,,,
5,16.786626931975075,6.0,0.45374059677124023,750,,,,,,,,
6,21.279484872018013,7.0,0.4493105411529541,875,,,,,,,,
7,26.341675891684616,8.0,0.449495792388916,1000,,,,,,,,
8,32.46511410728092,9.0,92.85443663597107,1125,0.18124592018127442,0.20975964236259462,-0.9013271925468294,-6.0,7.079863689248524,0.9318293110718803,0.09971596186942103,5.355923740386963
9,26.32466059564659,10.0,93.60661816596985,1250,0.18236347031593322,0.11493138080835343,-1.5480899137835349,-6.0,7.495175153978409,0.9853121888252997,0.09908127706422169,5.286399875640869
10,21.124707571245743,11.0,94.17031574249268,1375,0.1750352863073349,0.10327205234766007,-1.878965391053094,-6.0,7.465516695900569,0.9727398327418736,0.09846269079663768,5.273546489715576
11,14.259612072581541,12.0,94.89729261398315,1500,0.17624100697040557,0.10790293598175049,-2.195506178563641,-6.0,7.458509883572979,0.9576240383809612,0.09785645116486126,5.267636703491211
12,27.91705578220557,13.0,95.68998122215271,1625,0.17626329874992372,0.10062825214862824,-2.4848615025717113,-6.0,7.346825645083473,0.9406085600928654,0.0972605387087472,5.263325298309327
13,18.507641550202973,14.0,96.09774971008301,1750,0.1782674664258957,0.111701544880867,-2.7289115651961295,-6.0,7.409601980640042,0.9320867042387685,0.09667192073273585,5.261653800964355
14,29.73967462789213,15.0,96.76024842262268,1875,0.1842390968799591,0.11662070512771607,-3.0355337158082025,-6.0,7.402348306443956,0.9266741597463214,0.09608790484527757,5.259754776000976
15,40.17979911790705,16.0,97.37071657180786,2000,0.19384847402572633,0.11986243444681167,-3.397246156969378,-6.0,7.26895692271571,0.8891010284423828,0.09551609043222405,5.259235801696778
16,48.58754807993313,17.0,108.00192975997925,2125,0.21249614632129668,0.13125040489435197,-3.779767607885694,-6.0,7.279655577644469,0.8552240473883492,0.09496540907296237,5.258418960571289
17,69.4333691782866,18.0,127.93718481063843,2250,0.22379287946224213,0.13428894186019896,-4.156287662444576,-6.0,7.14975030191483,0.8244245561861223,0.09443262330060345,5.257918701171875
18,28.959549638654924,19.0,146.65810346603394,2375,0.23303428161144257,0.11407225507497787,-4.5027177371676,-6.0,6.920556598239475,0.7830823054389348,0.09391452540664942,5.257098579406739
19,68.61675234121299,20.0,122.53132915496826,2500,0.2386837304830551,0.177480500459671,-4.818394130276095,-6.0,7.039825316398375,0.7685441172892048,0.09341310126555771,5.258268405914307
20,18.153070801182594,21.0,121.7651014328003,2625,0.24142239499092102,0.1156346776485443,-5.213691227019779,-6.0,6.8200350564623635,0.7448495418306381,0.09291622833100845,5.2569576988220215
21,38.71106903157132,22.0,141.80217242240906,2750,0.2512175860404968,0.1417246630191803,-5.629414489192348,-6.0,6.713604465607674,0.7044427837094953,0.09243453461797531,5.256893962860107
22,78.4650631045344,23.0,107.68192863464355,2875,0.2741267069578171,0.16485083973407746,-6.096419894506061,-6.0,6.5665199340335905,0.6614119533508543,0.09197563715297798,5.256771438598633
23,136.61448157241156,24.0,107.4755163192749,3000,0.3043364381790161,0.2081392345428467,-6.609428636489376,-6.0,6.497100253258982,0.64738320150683,0.09153039850217702,5.25660583114624
24,117.9873563558169,25.0,106.37542700767517,3125,0.3254968249797821,0.17532793271541597,-7.185248829069591,-6.0,6.287482201106965,0.6130694103619408,0.0910924733164039,5.25563468170166
25,47.87698100795644,26.0,103.5128984451294,3250,0.34873969078063966,0.22496617722511292,-7.723822355270386,-6.0,6.0685566471469015,0.5753677083599952,0.09067018362063062,5.255510120391846
26,171.37083066620806,27.0,104.1207025051117,3375,0.37526558661460874,0.5255703094005585,-8.129729475293841,-6.0,6.1200974101112005,0.533164592016311,0.09027622804428961,5.257143375396729
27,132.8150514466042,28.0,104.76058506965637,3500,0.38609701609611513,0.24696206939220428,-9.030785468316846,-6.0,5.894248047182637,0.5035757460901814,0.08989727864314255,5.254931758880615
28,27.65599352295994,29.0,105.46767401695251,3625,0.3914351131916046,0.24539242208003997,-9.71514259822785,-6.0,5.671037469591413,0.48338158972679623,0.08952748027762084,5.254414741516113
29,114.2347970900354,30.0,106.05507326126099,3750,0.4115673153400421,0.29807633662223815,-10.299559347091183,-6.0,5.568275067114061,0.4924639376901811,0.08915910620594172,5.254172080993652
30,94.5639892046987,31.0,106.76045322418213,3875,0.4179106287956238,0.288154048204422,-10.840786525181361,-6.0,5.558494537595719,0.5028577669272347,0.08877181749288336,5.253926994323731
31,66.61019491256019,32.0,107.32693791389465,4000,0.42708256483078005,0.2696198357343674,-11.39490282920099,-6.0,5.518985748291016,0.5065720009226953,0.08837152233522803,5.253603973388672
32,105.14492543951606,33.0,107.95610070228577,4125,0.4326116423606873,0.3283666216135025,-11.870003049335782,-6.0,5.53393216360183,0.5086308694075025,0.08796892342102983,5.253642101287841
33,32.11862223465741,34.0,108.55712914466858,4250,0.43953898119926454,0.320923416018486,-12.358354722299884,-6.0,5.540292216885474,0.5092224752710711,0.08755663123250373,5.2533214530944825
34,166.28283936709366,35.0,109.2967643737793,4375,0.46143245220184326,0.3081342751979828,-12.971796217418852,-6.0,5.449294370318216,0.5035176480573321,0.08714020433844802,5.252985195159912
