,episode_reward,episode,duration,step,batch_reward,critic_loss,actor_loss,actor_target_entropy,actor_entropy,alpha_loss,alpha_value,centroid_MSE_loss
0,0.0,1.0,37.020517110824585,500,,,,,,,,
1,3.0,2.0,1.1665613651275635,1000,,,,,,,,
2,11.0,3.0,448.74832367897034,1500,0.01170703125,0.06195546368998475,-0.3756467373482883,-2.0,2.538302577972412,0.32330693554878237,0.09876741906688193,0.01560962184649543
3,1.0,4.0,449.68805170059204,2000,0.00881640625,0.03131145059177652,-0.736683691740036,-2.0,2.586869469642639,0.3233039875030518,0.09632678931358449,0.002606958566881076
4,0.0,5.0,448.9726912975311,2500,0.00671484375,0.020666490328032524,-0.9236214017868042,-2.0,2.5885496950149536,0.31536936640739444,0.09399160204278519,0.025246639875695108
5,0.0,6.0,450.8255362510681,3000,0.00554296875,0.01749066603090614,-1.022895697593689,-2.0,2.6007131805419923,0.3037210886478424,0.09174709165541588,0.05964535851031542
6,2.0,7.0,450.0884702205658,3500,0.005015625,0.03329788336157799,-1.214491663455963,-2.0,2.5655144939422607,0.2876720722913742,0.08961561120041797,0.07807795259356498
7,0.0,8.0,451.15691781044006,4000,0.005265625,0.05568949363008142,-1.4754491586685181,-2.0,2.540441108703613,0.2754202721118927,0.08758948010892066,0.11204158540070057
8,7.0,9.0,583.6756336688995,4500,0.0058046875,0.0591895713545382,-1.6851354041099549,-2.0,2.5356503047943115,0.27034217202663424,0.0856066710302745,0.1380499700009823
9,1.0,10.0,,5000,0.0074765625,0.06943079729005694,-1.9082661933898926,-2.0,2.505152003288269,0.2586912423968315,0.08367960025099848,0.14268119187653064
10,,,548.4277920722961,5000,,,,,,,,
11,22.0,11.0,523.7768411636353,5500,0.01040234375,0.0608617005944252,-2.2413993792533873,-2.0,2.4384053907394407,0.24362927812337876,0.08184175250164873,0.1381375839859247
12,15.0,12.0,881.070787191391,6000,0.01398046875,0.08410702024400234,-2.6178509407043458,-2.0,2.3983804273605345,0.23231891119480133,0.08008316056896796,0.1383634742796421
