,episode_reward,episode,duration,step,batch_reward,critic_loss,actor_loss,actor_target_entropy,actor_entropy,alpha_loss,alpha_value,pos_sample_avg_cos_similarity,neg_sample_avg_cos_similarity,BYOL_L2_MSE_loss
0,0.0,1.0,50.05351424217224,500,,,,,,,,,,
1,45.447181319925,2.0,2.2349443435668945,1000,,,,,,,,,,
2,30.66754504360952,3.0,202.18716406822205,1500,0.07645167180895805,0.04364318948891014,-1.4545275849103927,-6.0,7.613737173080445,0.9785156106948852,0.09874837620081674,0.9530502064749599,0.9275320555865765,0.09389958863751963
3,37.48733659341392,4.0,197.64076137542725,2000,0.08368211019039154,0.02236812022794038,-2.3527717933654784,-6.0,7.767560777664184,0.9664619989395141,0.09631430096371887,0.9985648510456085,0.9606190093755722,0.0028702850462868808
4,57.065852715126404,5.0,199.27383947372437,2500,0.08946429727971554,0.05306638259068131,-3.252694261550903,-6.0,7.821912210464477,0.9375009481906891,0.0939895200966376,0.9989685349464417,0.9501868958473205,0.0020629398040473462
5,70.79326655371898,6.0,196.66495656967163,3000,0.09403574873507023,0.1054496252462268,-4.152115698814392,-6.0,7.845035511016846,0.9081516931056977,0.091752973283736,0.9990749151706696,0.9395532400608063,0.0018501590145751834
6,33.67390171488358,7.0,196.87177515029907,3500,0.09749611409008503,0.1839740691035986,-5.061162591934204,-6.0,7.841823326110839,0.8708638713359833,0.08961043927085466,0.9989814418554306,0.928182297706604,0.002037119252141565
7,84.84534417418904,8.0,197.61156225204468,4000,0.10145039524137973,0.24427512221038342,-5.873013502120972,-6.0,7.86743611907959,0.8437086408138275,0.08754662877018679,0.9987733110189437,0.9177969280481338,0.0024533839798532428
8,40.13063692391631,9.0,199.21123242378235,4500,0.1046019549369812,0.33186083161830904,-6.615369401931763,-6.0,7.835266647338867,0.822898618221283,0.08554077357375002,0.9987689552307129,0.9052183293104171,0.002462088421918452
9,77.93057509120135,10.0,,5000,0.10515688973665237,0.3759851753413677,-7.376553411483765,-6.0,7.809552333831787,0.7837957723140716,0.08360883721344035,0.9985215311050415,0.8938420023918152,0.0029569306299090385
10,,,248.01022171974182,5000,,,,,,,,,,
11,71.9313023784567,11.0,198.40348958969116,5500,0.12336824227869511,0.6874241634011269,-8.312733432769775,-6.0,7.599304019927978,0.7043043358325958,0.08179001806884569,0.9983402745723724,0.8777747403383255,0.003319446301087737
12,147.93213657473032,12.0,199.50622582435608,6000,0.12623298083245754,0.9543540951013565,-9.39627257156372,-6.0,7.279299655914307,0.6462693061828614,0.08014697280481815,0.9984364540576934,0.865625000834465,0.003127075330819935
13,57.87873030599999,13.0,199.54377794265747,6500,0.13229334543645382,1.321654371738434,-10.511563690185547,-6.0,7.106607215881348,0.6106642951965332,0.07854073040638464,0.9981924568414688,0.8484160408973694,0.0036150924493558705
14,103.22958397701613,14.0,197.1617569923401,7000,0.13075724510848521,1.190312378525734,-11.492682796478272,-6.0,7.102692735671997,0.586152524471283,0.07698982375003713,0.998050903916359,0.8315824950933457,0.0038981907167471947
15,36.65756432824534,15.0,198.5696828365326,7500,0.12662482024729252,1.1547886134386063,-12.45631507873535,-6.0,7.099351327896118,0.5675756731033326,0.07544188166028781,0.9973740738630295,0.8265771729946136,0.00525185131514445
16,48.925157520868005,16.0,198.70625138282776,8000,0.12548494425415993,1.2492797025442124,-13.450857753753661,-6.0,7.136992467880249,0.5685385313034058,0.0738943194090901,0.9977405455112457,0.8443750211000443,0.004518907537218183
17,98.32812293880471,17.0,198.44151997566223,8500,0.12878587563335894,1.0569272062778472,-14.365390449523925,-6.0,7.0244018077850345,0.5770366592407227,0.07229940115237082,0.9979883667230606,0.8420592906475067,0.004023269230965525
18,43.84896495520808,18.0,199.94052362442017,9000,0.12718472327291966,1.0224767000675201,-15.062387718200684,-6.0,7.025773674011231,0.563271781206131,0.0707013696392471,0.9978544763326644,0.8386712818145752,0.004291045483201742
19,53.9525136535533,19.0,198.64214086532593,9500,0.1266915255486965,1.0853918565511704,-15.726861522674561,-6.0,7.065439556121826,0.5514500875473023,0.0691417873150014,0.9977385437488556,0.8415663120746613,0.004522903506178409
20,58.04932504649964,20.0,,10000,0.1262157190591097,1.3481051844358445,-16.21936771392822,-6.0,7.085943519592285,0.5382477400302887,0.06760439612292589,0.9974213343858719,0.8349209781885147,0.00515732777537778
21,,,244.7272868156433,10000,,,,,,,,,,
22,63.77900242901072,21.0,200.1884195804596,10500,0.13204402785003186,1.6377578177452088,-17.07909073638916,-6.0,7.041799615859985,0.5141473467350006,0.0661236979045689,0.9973168431520462,0.8235358183383942,0.005366308550816029
23,191.85293931649028,22.0,198.80561065673828,11000,0.13890033034980298,1.396607140660286,-17.872024391174318,-6.0,6.985627466201782,0.5027921452522278,0.06468334373780002,0.9972826055288315,0.8133071166276932,0.005434770023450255
24,52.847601146683985,23.0,200.5288496017456,11500,0.13584098860621452,1.4487739580869674,-18.332636711120607,-6.0,6.917042291641235,0.48328922390937806,0.06327016962745977,0.9970665867328644,0.8037156966924668,0.005866836588829756
25,31.757877995129324,24.0,263.6138997077942,12000,0.13476672996580602,1.6772625982761382,-18.992556060791017,-6.0,6.809133062362671,0.4553807369470596,0.06192294873043219,0.9968561321496964,0.7960451936721802,0.006287734681274742
26,98.6573405917029,25.0,270.5208284854889,12500,0.13751065792143344,2.0221568748950958,-19.478035697937013,-6.0,6.788610406875611,0.4354115353822708,0.06062529781088308,0.9967127223014831,0.7894864752292633,0.006574550953693688
