,episode_reward,episode,duration,step,batch_reward,critic_loss,actor_loss,actor_target_entropy,actor_entropy,alpha_loss,alpha_value,curl_loss
0,0.0,1.0,43.133827447891235,500,,,,,,,,
1,45.447181319925,2.0,1.9531123638153076,1000,,,,,,,,
2,30.66754504360952,3.0,156.60933995246887,1500,0.07540568271279335,0.04158565071132034,-1.244480520963669,-6.0,7.6802209939956665,0.9776122480779886,0.09874923022531595,0.7703232321143151
3,34.094527478493696,4.0,156.75219988822937,2000,0.08336069530248642,0.015743478151969612,-2.2870521569252014,-6.0,7.937359495162964,0.9674326448440552,0.09631452607466418,0.2338633838146925
4,59.67899446503086,5.0,156.78034496307373,2500,0.08672248709201813,0.01676154388487339,-3.2532164239883423,-6.0,8.049198583602905,0.9381317503452301,0.09398785067204023,0.15536487725377082
5,51.30614852488413,6.0,156.8614363670349,3000,0.09281784066557884,0.036587974274531004,-4.075928230285644,-6.0,8.131306280136108,0.9182120618820191,0.09174541671985906,0.13308306942880155
6,57.826462662702205,7.0,156.79868507385254,3500,0.09207348921895027,0.012436389081180096,-4.857989658355713,-6.0,8.160788942337037,0.8907067856788635,0.08957157484517525,0.10605509995669127
7,39.108433911251865,8.0,156.96896696090698,4000,0.091083097204566,0.01579763891827315,-5.725033527374268,-6.0,8.21907371711731,0.8610839278697967,0.08748404137335712,0.09334922912716866
8,39.17396391108604,9.0,156.93525624275208,4500,0.09125021339952946,0.05780832360312343,-6.448268093109131,-6.0,8.332962396621705,0.8441547539234161,0.08546079933587371,0.09799445560574531
9,50.37859608624145,10.0,,5000,0.0902911610454321,0.01644515744782984,-7.202628467559815,-6.0,8.314573421478272,0.8220500600337982,0.08348723093739878,0.07517259308695794
10,,,197.27853655815125,5000,,,,,,,,
11,39.80219631525572,11.0,157.16362023353577,5500,0.09352850256860257,0.03060667437873781,-7.9891848487854,-6.0,8.336320875167846,0.7990011970996856,0.08157518619365685,0.06864767604321241
12,114.74264282721576,12.0,157.29213094711304,6000,0.10199221776425839,0.03628224031627178,-8.783753730773926,-6.0,8.343599731445313,0.7707889406681061,0.07972707095468966,0.060120735701173544
13,43.96215010885208,13.0,157.28929948806763,6500,0.10490097460150719,0.19002901953086257,-9.21475422859192,-6.0,8.484064615249634,0.7534314556121826,0.07793442727332843,0.06927651469781995
14,100.58843812909896,14.0,157.19719457626343,7000,0.10814546205103398,0.047348416604101655,-9.872493858337402,-6.0,8.365858060836793,0.7267670590877533,0.07618661658480949,0.0530405104868114
15,39.814290507738846,15.0,157.34376096725464,7500,0.10740793845057488,0.06848612535744905,-10.567743503570556,-6.0,8.302870401382446,0.7005134534835815,0.07450035771554955,0.04863230182416737
16,51.88678734751688,16.0,157.22662115097046,8000,0.1073833514302969,0.08726056964695454,-11.215222900390625,-6.0,8.168768203735352,0.6666560528278351,0.07287549776315903,0.045336254641413685
17,86.246197818817,17.0,157.1844356060028,8500,0.11021873795986176,0.10368159486353397,-11.880486209869385,-6.0,8.003128950119018,0.6287992300987244,0.07132269149984362,0.04389343114569783
18,54.333893990940304,18.0,157.11572694778442,9000,0.11063709534704685,0.1303106864541769,-12.497858253479004,-6.0,7.895250761032105,0.6031998524665833,0.06982954730228855,0.04053237860277295
19,52.08205310255558,19.0,157.1979398727417,9500,0.11050322353839874,0.12611590968072414,-13.065882438659669,-6.0,7.812878381729126,0.5860933835506439,0.0683635997451503,0.037580124005675314
20,45.97454862427647,20.0,,10000,0.1117735519707203,0.14408013823628427,-13.663415390014649,-6.0,7.782912246704101,0.574153352022171,0.06691431036722621,0.036659819381311534
21,,,198.7324514389038,10000,,,,,,,,
22,77.41503551092974,21.0,156.85656309127808,10500,0.11738007459044457,0.19571605730056763,-14.234576519012451,-6.0,7.765575517654419,0.5577270510196686,0.06548225636275855,0.03423032310791314
23,166.38264458459187,22.0,157.04384684562683,11000,0.12209599819779396,0.9290798616111279,-13.630343490600586,-6.0,8.478191164016724,0.5883720325231552,0.06403814576761521,0.05016660587489605
24,54.511435926792494,23.0,157.2239809036255,11500,0.12257849173247815,0.26978079438209535,-13.683401275634766,-6.0,8.244342163085937,0.57554501080513,0.06254368084685223,0.0323824294116348
25,65.58399901349578,24.0,157.19912362098694,12000,0.12122481076419353,0.23168090969324112,-14.07893755722046,-6.0,8.027640474319458,0.5500302708148956,0.06112834092834319,0.03096872357092798
26,57.15999808804254,25.0,156.98010420799255,12500,0.1220822467803955,0.25383668479323385,-14.453745170593262,-6.0,7.866999923706055,0.5196985553503036,0.059777733692139165,0.02880171157605946
27,51.917307536298274,26.0,157.06949472427368,13000,0.12042385309934617,0.2993613159060478,-14.727331169128417,-6.0,7.668999839782715,0.48893632447719576,0.05849973644798946,0.027766198635101318
28,48.1359690066638,27.0,157.37072205543518,13500,0.11953043988347054,0.3814546132981777,-15.092878036499023,-6.0,7.457343305587768,0.45621158492565156,0.05728605043633393,0.026991860400885345
29,33.77311711289506,28.0,157.22009539604187,14000,0.1179706583172083,0.5121668167710304,-15.484126369476318,-6.0,7.381873622894287,0.4289227583408356,0.05612805768819137,0.025074534425511955
30,60.84075852878696,29.0,157.04078698158264,14500,0.12093614502251149,0.6517885692119598,-16.022768657684328,-6.0,7.148315353393555,0.40535661721229554,0.055012305568939115,0.024947932366281747
31,115.89719797050223,30.0,,15000,0.12515684898197652,0.9412046729326248,-16.50910464477539,-6.0,7.105543600082397,0.39367416858673093,0.05391810976940672,0.023840142882429062
32,,,197.86347031593323,15000,,,,,,,,
