,episode_reward,episode,duration,step,batch_reward,critic_loss,actor_loss,actor_target_entropy,actor_entropy,alpha_loss,alpha_value,BYOL_L2_MSE_loss
0,0.0,1.0,52.122556924819946,500,,,,,,,,
1,45.447181319925,2.0,2.094351291656494,1000,,,,,,,,
2,30.66754504360952,3.0,428.7392489910126,1500,0.07402052642405033,0.031637306368909775,-1.2224327638149262,-6.0,7.537491066932678,0.9779141664505004,0.09877420638184331,0.13808571807295084
3,33.18435807345695,4.0,389.13379979133606,2000,0.09460698068141937,0.02133374183718115,-2.295187690258026,-6.0,7.774262088775635,0.9694302668571472,0.09634533058682451,0.02051011320948601
4,83.70888550202189,5.0,384.0622069835663,2500,0.1047370861172676,0.04116305393353105,-3.275568977355957,-6.0,7.8018642406463625,0.9348628442287445,0.09402329018632373,0.01577085603773594
5,77.49794270536675,6.0,392.88665223121643,3000,0.10655708461999894,0.051217145480215547,-4.276481209754944,-6.0,7.807528114318847,0.901778956413269,0.091799311284207,0.013503996711224318
6,39.98869271135799,7.0,406.5090346336365,3500,0.10569935724139214,0.07810316346958279,-5.216885927200317,-6.0,7.794444980621338,0.8761493988037109,0.0896538890791513,0.013094732224941254
7,59.25454880849743,8.0,415.5053987503052,4000,0.10468175245821476,0.09646217864006758,-6.121959331512451,-6.0,7.677024852752686,0.8402934174537658,0.08758776062328895,0.012656939124688507
8,39.851955766314404,9.0,426.85906505584717,4500,0.10526063378155232,0.12085171395540237,-6.9609729804992675,-6.0,7.6023360443115235,0.8209818370342254,0.08558577753441828,0.012207990078255534
9,83.1202557993745,10.0,,5000,0.10839866131544112,0.13303218652307988,-7.767925331115722,-6.0,7.584944688796997,0.7988312039375305,0.0836350795064855,0.01078227642737329
10,,,485.4768166542053,5000,,,,,,,,
11,40.3965548075391,11.0,451.3822810649872,5500,0.1088767412006855,0.15869244708120822,-8.573413372039795,-6.0,7.543445222854614,0.7753020284175873,0.08173840595239243,0.011006234046071768
12,61.80893535226356,12.0,465.44904828071594,6000,0.10845252196490765,0.19596007545292377,-9.364409175872803,-6.0,7.550099487304688,0.7484620702266693,0.07990191568251251,0.012798314206302166
13,45.9804079560147,13.0,481.9676229953766,6500,0.11130925962328911,0.1679341208487749,-10.127397342681885,-6.0,7.471507793426514,0.7236560201644897,0.07812241503734538,0.008634745906107128
14,78.10841829879926,14.0,498.7808711528778,7000,0.10984474907815456,0.15214383362233638,-10.86686626815796,-6.0,7.341966260910034,0.6965300815105439,0.07640141498792474,0.0074211908057332035
15,44.94663542882368,15.0,517.1139214038849,7500,0.10995204834640027,0.20428502036631108,-11.556452030181886,-6.0,7.306769199371338,0.6778415153026581,0.07472382483638558,0.006782016910612583
16,90.82193582866473,16.0,536.1378724575043,8000,0.11639263536036014,0.259014196485281,-12.32996388244629,-6.0,7.231962085723877,0.6449208357334137,0.07309840528851025,0.006299944297410548
17,104.63262644852587,17.0,558.7561085224152,8500,0.11919607120752335,0.2849335747361183,-13.103152374267578,-6.0,7.17160400390625,0.6184485597610474,0.07153447660509048,0.005730976439081132
18,41.28436564870674,18.0,580.5306735038757,9000,0.11761404018104077,0.28800725945830347,-13.769172370910644,-6.0,7.130733316421509,0.5964877490997315,0.07001250554035303,0.005280979399569332
19,53.344434595430045,19.0,583.7123317718506,9500,0.11650435711443424,0.3033027587532997,-14.4451354637146,-6.0,7.08658250617981,0.5773836977481842,0.06852313540460438,0.004716434850823134
20,40.93607967716682,20.0,,10000,0.11528942136466504,0.37600882309675215,-15.170923667907715,-6.0,7.100621809005737,0.5607967436313629,0.06706314823374326,0.0043403941080905496
21,,,531.6641383171082,10000,,,,,,,,
22,45.46714396891796,21.0,525.9355263710022,10500,0.11704379367828369,0.5470620584487915,-15.957253288269042,-6.0,7.061420934677124,0.5378863328695297,0.06563598628712872,0.0050125498245470225
23,98.20652585595317,22.0,484.51980566978455,11000,0.11876385726034641,0.6778017782568931,-16.762716621398926,-6.0,6.971304410934448,0.4982476955652237,0.0642711556443151,0.005848937110509723
24,46.95204589152952,23.0,428.7734463214874,11500,0.11692665509879589,0.7952402187585831,-17.530409294128418,-6.0,6.914088722229004,0.47219228506088257,0.06297328777423283,0.006036136676557362
25,77.1620085515459,24.0,429.095285654068,12000,0.12063101324439049,0.8708516076803208,-18.55068955230713,-6.0,6.822164533615112,0.4384463073015213,0.06172613960778368,0.0047135287327691915
26,91.11888260941015,25.0,494.40244483947754,12500,0.12447687038779259,1.0815209848880767,-19.350407638549804,-6.0,6.771039094924927,0.4127615833282471,0.06052572367651568,0.0045238148141652345
27,141.61121670538947,26.0,498.81657004356384,13000,0.1278275022804737,1.314339786887169,-20.35543367767334,-6.0,6.567786426544189,0.38710859870910647,0.059364984039429115,0.004821065020281822
28,99.41057741575194,27.0,496.48042345046997,13500,0.1295848899036646,1.578081226825714,-21.23168428039551,-6.0,6.448017467498779,0.3662870744466782,0.0582353084035849,0.005096707385033369
29,30.352518287443555,28.0,491.1294038295746,14000,0.13042297527194024,1.3850622282028198,-22.22686717224121,-6.0,6.260236112594605,0.3506823052167892,0.05712947778757757,0.004408598253503442
30,114.36517851039562,29.0,497.81702518463135,14500,0.13299376831948756,1.3626641043424605,-23.142301582336426,-6.0,6.155113409042358,0.3375494501590729,0.05603194079702697,0.004087349283508956
31,90.61484146428594,30.0,,15000,0.13801778055727482,1.4086374589204789,-23.997906295776367,-6.0,6.0885596961975095,0.32283124709129335,0.05494246191201724,0.004847690254449844
32,,,537.0332787036896,15000,,,,,,,,
