,episode_reward,episode,duration,step,batch_reward,critic_loss,actor_loss,actor_target_entropy,actor_entropy,alpha_loss,alpha_value,pos_sample_avg_cos_similarity,neg_sample_avg_cos_similarity,curl_loss
0,0.0,1.0,46.516868352890015,500,,,,,,,,,,
1,3.0,2.0,1.349367380142212,1000,,,,,,,,,,
2,11.0,3.0,230.01212549209595,1500,0.01172265625,0.05644686226616614,-0.5773565875291824,-2.0,2.5192549126148225,0.3254116619229317,0.09877209361473038,0.9327955810725689,0.8865333119537682,7.563008647918701
3,0.0,4.0,222.8976809978485,2000,0.00741796875,0.029822082811268046,-0.8849440603256226,-2.0,2.604340424537659,0.3231552596092224,0.09634072276602562,0.9998607730865479,0.9307396056652069,6.213917285919189
4,0.0,5.0,218.42101502418518,2500,0.006515625,0.025296225245576353,-1.0691535606384277,-2.0,2.5865652294158936,0.3156730192899704,0.09400674553561293,0.9999685708284378,0.911153446674347,6.126799425125122
5,2.0,6.0,214.68543481826782,3000,0.00979296875,0.0394145090484526,-1.3502068305015564,-2.0,2.588308388710022,0.3080959177017212,0.09175395220566011,0.9998836972713471,0.8927465565204621,6.10333104133606
6,13.0,7.0,219.19689989089966,3500,0.00873828125,0.0397384380614385,-1.541173762321472,-2.0,2.6169623136520386,0.3000512174367905,0.08957698603263256,0.9998469148874283,0.8739444947242737,6.0764465246200565
7,2.0,8.0,220.0891752243042,4000,0.00909765625,0.047115425900090484,-1.6512646369934083,-2.0,2.6173781728744507,0.2931634955406189,0.08747160587214893,0.9998275637626648,0.8571116189956665,6.063216151237488
8,2.0,9.0,218.44856095314026,4500,0.00796875,0.04127473062230274,-1.76614173412323,-2.0,2.6053218612670896,0.2856909681558609,0.08543299592123413,0.99986456990242,0.8381748579740524,6.027778341293335
9,0.0,10.0,,5000,0.00730859375,0.029340440870262684,-1.857356948375702,-2.0,2.611597579956055,0.2784241094589233,0.08345090545043407,0.9998657146692276,0.8214381321668625,5.975262066841125
10,,,266.1797149181366,5000,,,,,,,,,,
11,4.0,11.0,227.49557733535767,5500,0.0082734375,0.06360591591615229,-1.9326827607154846,-2.0,2.642792950630188,0.27150580632686616,0.08153226626306079,0.9997831715345382,0.799576242685318,5.949395553588867
12,7.0,12.0,201.12351775169373,6000,0.00787890625,0.08479538029711693,-2.0225264644622802,-2.0,2.635219479560852,0.2638114501833916,0.0796678801029089,0.9997966365814209,0.784633008480072,5.91478164768219
13,2.0,13.0,200.46778464317322,6500,0.0069296875,0.08334709470439702,-2.1424065709114073,-2.0,2.6301664190292358,0.2554781773686409,0.07786370949363895,0.9997707028388977,0.7642405053377151,5.868115864753723
14,0.0,14.0,200.2488992214203,7000,0.00801171875,0.08443580995686352,-2.2594958181381224,-2.0,2.625626654624939,0.24797844064235688,0.07611734541033345,0.9997556564807892,0.7482547315359116,5.828496929168701
15,11.0,15.0,200.4588873386383,7500,0.0093671875,0.12252816926687955,-2.4126027545928954,-2.0,2.604731283187866,0.23128287613391876,0.07444132098122604,0.9997242782115936,0.7317329323291779,5.793293392181396
16,19.0,16.0,199.92639422416687,8000,0.0139921875,0.2715755834281445,-2.6226164875030515,-2.0,2.5950665674209596,0.21025517183542253,0.07289649647829546,0.9996505278348923,0.7179037954807281,5.757085983276367
17,67.0,17.0,199.91728711128235,8500,0.01787890625,0.299173294454813,-2.784713700294495,-2.0,2.6448158521652223,0.2055774044394493,0.07140599984813152,0.9995884708166123,0.6983752861022949,5.70949641418457
18,14.0,18.0,200.28589534759521,9000,0.02370703125,0.33152718636393547,-3.0033210916519164,-2.0,2.5346608896255494,0.18747632378339768,0.06995093007902815,0.9995377295017243,0.6818388869762421,5.6727755651474
19,63.0,19.0,200.96402215957642,9500,0.02475390625,0.3081666676402092,-3.38163663482666,-2.0,2.360187038421631,0.16578616267442703,0.06862932234354754,0.9994979203939438,0.6704786520004272,5.637901436805725
20,16.0,20.0,,10000,0.023796875,0.32340293353796007,-4.126990380287171,-2.0,2.1976569294929504,0.14434865632653238,0.06741497115234235,0.9994448457956314,0.6531013038158416,5.59328489780426
21,,,246.15291142463684,10000,,,,,,,,,,
22,0.0,21.0,200.50521087646484,10500,0.02430078125,0.3688408142924309,-4.950789121627808,-2.0,2.059264051914215,0.1267233794927597,0.066302123692266,0.9993826706409454,0.638529049873352,5.55467007637024
23,15.0,22.0,201.46063661575317,11000,0.0234453125,0.4179922977089882,-5.918082355499267,-2.0,1.9493958296775817,0.10603816428780556,0.0652942593624574,0.9993166781663895,0.6218609238862991,5.510583623886109
24,1.0,23.0,206.83243536949158,11500,0.02234375,0.4154553261399269,-6.951215700149536,-2.0,1.9021364560127259,0.09485772064328193,0.06436738929998943,0.9992442909479141,0.6068959564566613,5.470456839561463
25,0.0,24.0,206.03454446792603,12000,0.02147265625,0.38345024770498276,-7.863110799789428,-2.0,1.9086788659095764,0.09792031824588776,0.06341468575343465,0.999188622713089,0.5937098240852356,5.436722718238831
26,0.0,25.0,206.1264774799347,12500,0.02620703125,0.34100092253088954,-8.555133968353271,-2.0,1.9220140643119812,0.09771281874179841,0.062368677171962345,0.9991383304595948,0.5789552152752876,5.401023470878601
27,142.0,26.0,206.10745120048523,13000,0.0377890625,0.31109052735567094,-9.19017936706543,-2.0,1.8619725823402404,0.08888689714670181,0.06131827278791973,0.9990823526382446,0.5684378217458725,5.372783955574036
28,146.0,27.0,206.47949743270874,13500,0.04501953125,0.28899438786506654,-9.852857830047608,-2.0,1.8499226307868957,0.08230112656950951,0.06032185126273663,0.9990213111639022,0.5507195128798484,5.327710246086121
