,episode_reward,episode,duration,step,Q1 loss,Q2 loss,Mean Target Q,Mean Q1,Mean Q2,critic_loss,batch_reward,actor_loss,actor_target_entropy,actor_entropy,alpha_loss,alpha_value
0,0.0,1.0,50.26811218261719,500,,,,,,,,,,,,
1,3.0,2.0,2.0272469520568848,1000,,,,,,,,,,,,
2,11.0,3.0,2502.0700104236603,1500,0.04506535757904203,0.04525975558219943,0.05381711678917054,0.05472707162707593,0.054979626921051024,0.09622967966226861,0.0155390625,-0.17380485222581774,-2.0,2.5222743701934816,0.3209393385797739,0.09876965060254794
3,6.0,4.0,1566.8312630653381,2000,0.024695092265093047,0.024359005557906932,0.39920469411622256,0.39523189418497784,0.3959027337463063,0.051197200732305645,0.013171875,-0.5515376036167144,-2.0,2.6008409996032715,0.3228040755987167,0.09632141048120489
4,4.0,5.0,1138.8093693256378,2500,0.02003145659488759,0.019584270064536082,0.6933919718435833,0.6920647064532552,0.6933178646905082,0.04333456573216245,0.0105546875,-0.8315003087520599,-2.0,2.6018593769073486,0.31515315878391265,0.09398321276940501
5,0.0,6.0,1129.666448354721,3000,0.01688636124057562,0.016722599900227838,0.9605229899202075,0.9602260449784142,0.9602620750495365,0.03915949316136539,0.00889453125,-1.0817384779453278,-2.0,2.6210792388916015,0.307078875541687,0.0917289302818763
6,0.0,7.0,1123.0324430465698,3500,0.01890656406319301,0.01889465874466779,1.2066662644318171,1.2064362813064031,1.2065135718413762,0.04573704328015447,0.0097734375,-1.324037570476532,-2.0,2.6198236465454103,0.29870303356647493,0.08955695233966765
7,18.0,8.0,1065.5087356567383,4000,0.0247285222599418,0.024876279774495056,1.4181334193572637,1.4176865001958252,1.4178107100706372,0.06440928287804126,0.01328125,-1.5354712476730348,-2.0,2.620813464164734,0.29038295257091523,0.0874580923393701
8,8.0,9.0,1080.4256806373596,4500,0.028707925064799685,0.028874473699368537,1.6054421724478403,1.6069496165116628,1.6070682294766108,0.08039819091185928,0.012203125,-1.7181605505943298,-2.0,2.635332068443298,0.28090690112113953,0.08543092593903075
9,3.0,10.0,,5000,0.044236219650134447,0.04446679613133892,1.7905494903326034,1.7937612691720326,1.7935033797025681,0.12451809974387289,0.0135703125,-1.9100066223144532,-2.0,2.6178575944900513,0.2646641098856926,0.083498574364412
10,,,1509.271241426468,5000,,,,,,,,,,,,
11,19.0,11.0,1101.4768002033234,5500,0.07385364485139469,0.07377602958650066,1.98534975303867,1.9885395235947017,1.988614178746881,0.18945740133523942,0.01675,-2.1185014233589174,-2.0,2.593144751548767,0.24844358032941818,0.08167280571220467
12,29.0,12.0,1028.9637157917023,6000,0.10254061468541623,0.10200247838199139,2.2176086470603944,2.220081973409653,2.2201728751182555,0.25036841291189194,0.0212890625,-2.3471265153884886,-2.0,2.5641471099853517,0.2343112461566925,0.07993178368481234
13,64.0,13.0,1031.2155697345734,6500,0.14548641287088393,0.1460522733569145,2.5489056261062624,2.549657183456421,2.5495285177230835,0.34168069875240326,0.0359765625,-2.6781384744644163,-2.0,2.484460165977478,0.21410543459653855,0.07828348116081293
14,115.0,14.0,1044.8135960102081,7000,0.1862909554183483,0.1869442396581173,2.997341816329956,2.998308800125122,2.9981919598579405,0.43201439249515533,0.0511171875,-3.1452685718536375,-2.0,2.3631223640441896,0.18352812105417252,0.07678396675209466
15,135.0,15.0,1050.9923083782196,7500,0.22934961255788802,0.2295283841729164,3.601582763671875,3.60154976606369,3.6019101870536803,0.5243721808195114,0.07087890625,-3.806666793823242,-2.0,2.1981960968971253,0.14280755731463432,0.07549411147163627
16,266.0,16.0,992.7099788188934,8000,0.30985753144621847,0.3110335204541683,4.415374145889282,4.415071364402771,4.414949977779388,0.7040600923299789,0.10962890625,-4.649067113876343,-2.0,2.0678640542030333,0.10936878469586372,0.07444760426388893
17,409.0,17.0,985.2541646957397,8500,0.43946436891555785,0.43860829959511755,5.523304961585999,5.523133402633667,5.523640703010559,0.9896874336004258,0.15646484375,-5.820515693664551,-2.0,1.933368896007538,0.07345160396397114,0.07361500613226425
