,episode_reward,episode,duration,step,batch_reward,critic_loss,actor_loss,actor_target_entropy,actor_entropy,alpha_loss,alpha_value,centroid_MSE_loss
0,0.0,1.0,13.932708263397217,125,,,,,,,,
1,23.579030900784034,2.0,0.5238423347473145,250,,,,,,,,
2,20.747401348917606,3.0,0.5249099731445312,375,,,,,,,,
3,15.208494239734875,4.0,0.52294921875,500,,,,,,,,
4,22.388913929606666,5.0,0.5253691673278809,625,,,,,,,,
5,16.786626931975075,6.0,0.5253353118896484,750,,,,,,,,
6,21.279484872018013,7.0,0.5249266624450684,875,,,,,,,,
7,26.341675891684616,8.0,0.5236122608184814,1000,,,,,,,,
8,32.46511410728092,9.0,744.8797116279602,1125,0.17405769968032836,0.20573275125026702,-0.884828022784657,-6.0,7.0496122269403365,0.9313107918179224,0.09971504882638563,0.3230165071487427
9,16.706355377437124,10.0,744.0470185279846,1250,0.17324532282352448,0.13728159087896347,-1.5187410270014117,-6.0,7.400388925306259,0.9882740455289041,0.09907814677896692,0.5807059760093689
10,23.371996029014937,11.0,744.6750113964081,1375,0.17236654102802276,0.1336068025827408,-1.8645067517719571,-6.0,7.325506142207554,0.9796722616468158,0.09845782678269288,0.6614033946990967
11,11.010027045266312,12.0,744.4175639152527,1500,0.17188473534584045,0.11639017021656037,-2.1659333571310966,-6.0,7.599638323630056,0.976969720855836,0.09784518609366713,0.7228059148788453
12,33.64191408851236,13.0,744.9496340751648,1625,0.17952993190288544,0.12652566856145858,-2.4790215567936973,-6.0,7.726659078446645,0.9690301295310731,0.09723872844384902,0.7029170932769775
13,22.999041053927595,14.0,744.6862506866455,1750,0.180120112657547,0.13587456041574478,-2.796149680691381,-6.0,7.717674770662861,0.9596899315234153,0.09664011348805666,0.697961543560028
