,MSE,step
0,0.25035671710968016,1100
1,0.1868554562330246,1200
2,0.17126857966184617,1300
3,0.16492749348282815,1400
4,0.16008579790592192,1500
5,0.1592133152484894,1600
6,0.1583484436571598,1700
7,0.15901820078492165,1800
8,0.15929958015680312,1900
9,0.15917153999209405,2000
10,0.15937038466334344,2100
11,0.15989002883434295,2200
12,0.1602010767161846,2300
13,0.16039489030838014,2400
14,0.16062054708600043,2500
15,0.16043323263525963,2600
16,0.15974714010953903,2700
17,0.15822977378964423,2800
18,0.1567166742682457,2900
19,0.1540450531244278,3000
20,0.14896193847060205,3100
21,0.1456071661412716,3200
22,0.14359951198101042,3300
23,0.14118025958538055,3400
24,0.13720862120389937,3500
25,0.13433756023645402,3600
26,0.1326117393374443,3700
27,0.13105527833104133,3800
28,0.12965252570807934,3900
29,0.12780095279216766,4000
30,0.1271803131699562,4100
31,0.1265766405314207,4200
32,0.12552455946803093,4300
33,0.1253842780739069,4400
34,0.1248011177033186,4500
35,0.12415092147886753,4600
36,0.12418731272220612,4700
37,0.12366861626505851,4800
38,0.12335554398596286,4900
39,0.1222110316157341,5000
40,0.12204467892646789,5100
41,0.1214975904673338,5200
42,0.12030620865523815,5300
43,0.1194553867727518,5400
44,0.11905194140970707,5500
45,0.11872054994106293,5600
46,0.11757337927818298,5700
47,0.11666833765804768,5800
48,0.11564715310931206,5900
49,0.11482123121619224,6000
50,0.11355503775179386,6100
51,0.11242366306483746,6200
52,0.11187495432794094,6300
53,0.11141056753695011,6400
54,0.10928263805806637,6500
55,0.10891003884375096,6600
56,0.10740780234336852,6700
57,0.10627229772508144,6800
58,0.10523013040423393,6900
59,0.1042979396879673,7000
60,0.10319705836474896,7100
61,0.10196692578494548,7200
62,0.10158849805593491,7300
63,0.10125321179628372,7400
64,0.09969747781753541,7500
65,0.09934417143464089,7600
66,0.0986681792885065,7700
67,0.09778139285743237,7800
68,0.0967324497550726,7900
69,0.0970333144068718,8000
70,0.09673229373991489,8100
71,0.0961352227628231,8200
72,0.09394716173410415,8300
73,0.0940212393552065,8400
74,0.09439582988619805,8500
75,0.0922882167249918,8600
76,0.09291129916906357,8700
77,0.0919741328060627,8800
78,0.09164077617228031,8900
79,0.09163384772837162,9000
80,0.09054135061800479,9100
81,0.09005116358399391,9200
82,0.08930471174418926,9300
83,0.08989721760153771,9400
84,0.08885726302862168,9500
85,0.08870067156851291,9600
86,0.08848901361227035,9700
87,0.08882995352149009,9800
88,0.08751056641340256,9900
89,0.0867131594568491,10000
90,0.08694243609905243,10100
91,0.08587638102471828,10200
92,0.08698787868022918,10300
93,0.08589034795761108,10400
94,0.08560359224677086,10500
95,0.08569365233182907,10600
96,0.08514641560614108,10700
